lastName,firstName,country,univ
Ahmad,Muhammad Ovais,Sweden,Karlstad University
Almeida,Fernando,Portugal,University of Porto & INESC TEC
Alshayeb,Mohammad,Saudi Arabia,King Fahd University of Petroleum and Minerals
Andrade,Wilkerson,Brazil,Federal University of Campina Grande
Aziz Butt,Shariq,Pakistan,University of Lahore
Bagnato,Alessandra,France,SOFTEAM R&D Department
Barata,João,Portugal,University of Coimbra
Bastarrica,María Cecilia,Chile,University of Chile
Baumeister,Hubert ,Denmark,Technical University of Denmark 
Behutiye,Woubshet,Finland,University of Oulu
Bernhart,Mario,Austria,Vienna University of Technology
Borg,Markus,Sweden,SICS Swedish ICT AB
Brada,Premek,Czech Republic,University of West Bohemia
Buchalcevova,Alena,Czech Republic,Prague University of Economics and Business
Cruzes,Daniela,Norway,Norwegian University of Science and Technology
Datta,Soma,USA,University of Houston-Clear Lake 
Derezinska,Anna,Poland,Warsaw University of Technology
Dutta,Arpita,Singapore,National University of Singapore
Escalona Cuaresma,Maria Jose,Spain,Universidad de Sevilla
Ferreira de Souza,Érica ,Brazil,Federal University of Technology – Parana
Francillette,Yannick,Canada,University of Quebec at Chicoutimi
García-Mireles,Gabriel Alberto,Mexico,Universidad de Sonora
Gilson,Fabian,New Zealand,University of Canterbury
Gomes Rocha,Fábio,Brazil,Universidade Tiradentes
Gregory,Peggy,UK,University of Central Lancashire
Guerra,Eduardo,Italy,Free University of Bozen-Bolzano
Hanslo,Ridewaan,South Africa,Council for Scientific and Industrial Research
Heng,Samedi,Belgium,Smals and Université catholique de Louvain
Herold,Sebastian,Sweden,Karlstad University
Hohenstein,Uwe,Germany,Siemens AG
Janes,Andrea,Italy,Free University of Bolzano
Jarzębowicz,Aleksander,Poland,Gdańsk University of Technology
Kakarontzas,George,Greece,Aristotle University of Thessaloniki
Kaloyanova,Kalinka,Bulgaria,Sofia University
Kapitsaki,Georgia,Cyprus,University of Cyprus
Katić,Marija,UK,University of London
Khan,Arif Ali,Finland,University of Oulu
Kopczyńska,Sylwia,Poland,Poznań University of Technology
Lano,Kevin,UK,King’s College London
Luković,Ivan,Serbia,University of Belgrade
Mahnič,Viljan,Slovenia,University of Ljubljana
Mangalaraj,George,USA,Western Illinois University
Marcinkowski,Bartosz,Poland,University of Gdańsk
Maślankowski,Jacek,Poland,University of Gdańsk
Matthies,Christoph,Germany,Hasso Plattner Institute at the University of Potsdam
Mazzara,Manuel,Russia,Innopolis University
Melegati,Jorge,Italy,Free University of Bozen-Bolzano
Mesquida Calafat,Antoni-Lluís,Spain,University of the Balearic Islands
Miler,Jakub,Poland,Gdańsk University of Technology
Miller,Gloria,Germany,Maxmetrics
Mira da Silva,Miguel,Portugal,University of Lisbon
Mishra,Alok,"Norway, Turkey",Molde University College & Atilim University
Mohapatra,Durga Prasad,India,NIT Rourkela
Morales Trujillo,Miguel Ehecatl,New Zealand,University of Canterbury
Morandini,Marcelo,Brazil,University of São Paulo
Münch,Jürgen,Germany,Reutlingen University
Muszyńska,Karolina,Poland,University of Szczecin
Nawrocki,Jerzy,Poland,Poznań University of Technology
Neumann,Michael,Germany,Hochschule Hannover
Ng,Yen Ying,Poland,Nicolaus Copernicus University
Nguyen,Phuong Thanh,Italy,University of L'Aquila 
Nguyen-Duc,Anh,Norway,University of South Eastern Norway
Noyer,Arne,Germany,Ostfalia University of Applied Sciences
Özcan-Top,Özden,Turkey,Middle East Technical University
Özkan,Necmettin,Turkey,Kuveyt Türk Participation Bank
Pereira,Rui Humberto R.,Portugal,Instituto Politécnico do Porto - ISCAP
Petrillo,Fábio,Canada,École de Technologie Supérieure (ÉTS)
Pohl,Matthias,Germany,Otto von Guericke University
Polignano,Marco,Italy,Università degli Studi di Bari Aldo Moro 
Poniszewska-Maranda,Aneta,Poland,Lodz University of Technology
Poth,Alexander,Germany,Volkswagen AG
Przybyłek,Michał,Poland,Polish-Japanese Academy of Information Technology
Ramsin,Raman,Iran,Sharif University of Technology
Riel,Andreas,France,Grenoble Alpes University
Ristić,Sonja,Serbia,University of Novi Sad
Rodrigues da Silva,Alberto,Portugal,University of Lisbon
Rossi,Bruno,Czech Republic,Masaryk University
Russo ,Daniel ,Denmark,Aalborg University - Copenhagen 
Rybola,Zdenek,Czech Republic,FIT CTU in Prague
Saari,Mika,Finland,Tampere University
Sánchez-Gordón,Mary,Norway,Østfold University College 
Schön,Eva-Maria,Germany,University of Applied Sciences Emden/Leer 
Selviandro,Nungki,Indonesia,Telkom University
Senapathi,Mali,New Zealand,Auckland University of Technology
Soares,Pedro Filipe,Portugal,Fraunhofer Portugal AICOS
Spichkova,Maria,Australia,RMIT University
Stettina,Christoph Johann,The Netherlands,Leiden University
Strode,Diane,New Zealand,Whitireia Polytechnic
Suri,Bharti,India,GGS Indraprastha University
Taweel,Adel,UK,University of Manchester
Theobald,Sven,Germany,Fraunhofer IESE
Thomaschewski,Jörg,Germany,University of Applied Sciences Emden/Leer
Torrecilla Salinas,Carlos,Spain,University of Seville
Tsilionis,Konstantinos,Belgium,KU Leuven
Tuncel,Doruk,Germany,Siemens AG
Vranić,Valentino,Slovakia,Slovak University of Technology in Bratislava
Winter,Dominique,Germany,University of Applied Sciences Emden/Leer
Zhang,Zheying,Finland,Tampere University
Ziadi,Tewfik,France,Sorbonne Université
